Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.), Dry Mass (kg.) ,Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Jilin-1 GaoFen 03D 18,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,527,546,0.001376,97.5,94.5,43,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019T,51841
Jilin-1 Gaofen 03D-01,NR (9/21),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,543,0.001086,97.5,94.5,40,,,03/07/2021,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2021-062B,49004
Jilin-1 Gaofen 03D-02,NR (9/21),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,529,544,0.001086,97.5,94.5,40,,,03/07/2021,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2021-061C,49005
Jilin-1 Gaofen 03D-03,NR (9/21),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,544,0.001158,97.5,94.5,40,,,03/07/2021,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2021-062D,49006
Jilin-1 GaoFen 03D-04,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,530,546,0.001158,97.5,94.5,43,,,29/04/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2022-046B,52389
Jilin-1 GaoFen 03D-05,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,543,0.000869,97.5,94.5,43,,,29/04/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2022-046C,52390
Jilin-1 GaoFen 03D-06,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,526,548,0.001593,97.5,94.5,43,,,29/04/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2022-046D,52391
Jilin-1 GaoFen 03D-07,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,523,550,0.001955,97.5,94.5,43,,,29/04/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2022-046E,52392
Jilin-1 GaoFen 03D-27,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,545,0.001231,97.5,94.5,43,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyan Launch Center,Long March 2,2022-048B,52444
Jilin-1 GaoFen 03D-28,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,545,0.001231,97.5,94.5,43,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyan Launch Center,Long March 2,2022-048C,52445
Jilin-1 GaoFen 03D-29,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,545,0.001231,97.5,94.5,43,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyan Launch Center,Long March 2,2022-048D,52446
Jilin-1 GaoFen 03D-30,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,545,0.001231,97.5,94.5,43,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyan Launch Center,Long March 2,2022-048E,52447
Jilin-1 GaoFen 03D-31,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,545,0.001231,97.5,94.5,43,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyan Launch Center,Long March 2,2022-048F,52448
Jilin-1 GaoFen 03D-32,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,545,0.001231,97.5,94.5,43,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyan Launch Center,Long March 2,2022-048G,52449
Jilin-1 GaoFen 03D-33,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,545,0.001231,97.5,94.5,43,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyan Launch Center,Long March 2,2022-048H,52450
Jilin-1 GaoFen 03D-34,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,491,496,0.000364,97.4,94.5,42,42,,15/01/2023,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007D,55251
Jilin-1 GaoFen 04A,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,525,548,0.001665,97.5,94.5,43,,,29/04/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Yellow Sea Launch Platform,Long March 11,2022-046A,52388
Wofuman,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,,,,,,,,,15/01/2023,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007J,55256
Haihe-1,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,485,495,0.000729,97.4,94.5,42,42,,15/01/2023,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007H,55255
Jilin 1 Kuanfu 01B,NR (9/21),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,530,545,0.001086,97.5,94.5,95,,,03/07/2021,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2021-062A,49003
Jilin 1 Kuanfu 01C,USA,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,528,543,0.001086,97.5,94.5,95,,,05/05/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2022-048A,52443
Jilin-1 Kuanfu-1,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,477,492,0.001094,97.3,94.3,95,,,15/01/2020,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2020-003A,45016
Jilin-1 Mofang 02A01,NR (4/22),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,526,550,0.001737,97.5,94.5,32,,,27/02/2022,,Chang Guang Satellite Technology Co. Ltd.,China,Wenchang Space Center,Long March 8,2022-019J,51832
Jilin-1 Mofang 02A03,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,487,496,0.000656,97.4,94.5,18,18,,15/01/2023,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007E,55252
Jilin-1 Mofang 02A04,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,481,494,495.000000,97.4,94.5,18,18,,15/01/2023,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007F,55253
Jilin-1 Mofang 02A07,NR (9/23),China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,478,495,495.000000,97.4,94.5,18,18,,15/01/2023,,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 2D,2023-007G,55254
Jilin-1,NR,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,638,662,0.001709,98.05,97.73,400,,,07/10/2015,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057D,40961
Jilin-1-10,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,0,521,538,0.001232,97.5,95.2,95,,,21/01/2019,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2019-005E,43946
Jilin-1,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,544,0.000941,95.4,97.54,400,,,09/01/2017,,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Kuaizhou,2017-002B,41914
Jilin-1-4,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,532,545,0.000941,97.5,95.4,95,,,21/11/2017,3,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2017-074A,43022
Jilin-1-5,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,544,0.000941,97.5,95.4,95,,,21/11/2017,3,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2017-074B,43023
Jilin-1-6,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,531,544,0.000941,97.5,95.4,95,,,21/11/2017,3,Chang Guang Satellite Technology Co. Ltd.,China,Taiyuan Launch Center,Long March 6,2017-074C,43024
Jilin-1-7,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,523,546,0.001666,97.5,95.3,95,,,18/01/2018,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2018-008E,43159
Jilin-1-8,China,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,527,546,0.001376,97.5,95.3,95,,,18/01/2018,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2018-008F,43160
Jilin-1-9,NR,China,Chang Guang Satellite Technology Co. Ltd.,Commercial,Earth Observation,Multispectral Imaging,LEO,Sun-Synchronous,0,521,538,0.001232,97.5,95.2,95,,,21/01/2019,3,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 11,2019-005B,43943
Jin Zijing 1-01,NR (5/21),China,"Beijing ZeroG Space Technology Co., Ltd./Hong Kong Aerospace Tech Group",Commercial,Earth Observation,,LEO,Sun-Synchronous,0,494,508,0.001019,97.4,94.7,40,,,27/04/2021,,"Beijing ZeroG Space Technology Co., Ltd.",China,Taiyuan Launch Center,Long March 6, 2021-033G,48254
Jin Zijing 1-02,NR (5/21),China,"Beijing ZeroG Space Technology Co., Ltd./Hong Kong Aerospace Tech Group",Commercial,Earth Observation,,LEO,Sun-Synchronous,0,494,509,0.001091,97.4,94.7,40,,,27/04/2021,,"Beijing ZeroG Space Technology Co., Ltd.",China,Taiyuan Launch Center,Long March 6,2021-033H,48255
Jin Zijing 1-03,NR (1/22),China,Tianyi Research Institute,Civil,Technology Development,,LEO,Sun-Synchronous,0,485,501,0.001166,97.39,95.24,20,,,06/12/2021,,Unknown,China,Jiuquan Satellite Launch Center,Ceres 1,2021-117B,49813
Jin Zijing 2 ,NR (1/22),China,Shanghai Jiao Tong University/APSCO,Civil,Technology Development,,LEO,Sun-Synchronous,0,500,523,0.001671,97.5,97.2,4,4,,14/10/2021,,Shanghai Jiao Tong University/APSCO,China,Taiyuan Launch Center,Long March 2D,2021-091L,49325
Jin Zijing 3,NR (9/23),China,Gang Hang Ke,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,483,494,0.000802,97.4,94.5,10,10,,15/01/2023,,Gang Hang Ke,China,Taiyan Launch Center,Long March 2D,2023-007M,55259
Jin Zijing 4,NR (9/23),China,Gang Hang Ke,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,481,492,0.000802,97.4,94.5,10,10,,15/01/2023,,Gang Hang Ke,China,Taiyuan Launch Center,Long March 2D,2023-007N,55260
Jin Zijing 5,NR (1/22),China,Hong Kong Aerospace Technology Group,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,479,501,0.001603,97.4,94.5,10,,,06/12/2021,,"Beijing ZeroG Space Technology Co., Ltd.",China,Jiuquan Satellite Launch Center,Ceres 1,2021-117E,49816
Jin Zijing 6,NR (9/23),China,Gang Hang Ke,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,481,492,0.000802,97.4,94.5,50,50,,15/01/2023,,Gang Hang Ke,China,Taiyuan Launch Center,Long March 2D,2023-007L,55258
Jingshi-1,NR,China,Chinese University Corporation for Polar Research,Civil,Earth Observation,Optical Imaging/Automatic Identification System (AIS),LEO,Sun-Synchronous,0,732,749,0.001195,98.6,99.6,16,,,12/09/2019,,Shenzhen Aerospace Dongfanghong Development Ltd.,China,Taiyuan Launch Center,Long March 4B,2019-059B,44529
JYISat,NR,Jordan,Crown Prince Foundation,Civil,Communications,Amateur Radio,LEO,Sun-Synchronous,0,573,590,0.001223,97.7,93.6,2,,,03/12/2018,,Royal Jordanian Radio Amateur Society,Jordan,Vandenberg AFB,Falcon 9,2018-099AX,43803
Kaituo-1A,NR,China,China Aerospace Science and Technology Corp. (CASC),Government,Technology Development,,LEO,Sun-Synchronous,0,518,536,0.001305,97.46,95.18,130,,,19/09/2015,,China Aerospace Science and Technology Corp. (CASC),China,Taiyuan Launch Center,Long March 6,2015-049F,40904
Kanopus-B,Russia,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,501,505,0.000291,97.5,94.7,400,110,300.00,22/07/2012,5,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039A,38707
Kanopus-V-IK-2,Russia,Russia,Roscosmos State Corporation,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,505,508,0.000218,97.4,94.7,500,,,14/07/2017,,Roscosmos,Russia,Baikonur Cosmodrome,Soyuz-2.1a,2017-042A,42825
Kanopus-V-IK-3,Russia,Russia,Roscosmos State Corporation,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,505,509,0.000291,97.4,94.7,500,,,31/01/2018,,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz-2.1a,2018-014A,43180
Kanopus-V-IK-4,Russia,Russia,Roscosmos State Corporation,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,509,0.000655,97.4,94.7,500,,,31/01/2018,,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz-2.1a,2018-014B,43181
Kanopus-V-IK-5,Russia,Russia,Roscosmos State Corporation,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,503,511,0.000582,97.5,94.7,500,,,27/12/2018,,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz-2.1a,2018-111A,43876
Kanopus-V-IK-6,Russia,Russia,Roscosmos State Corporation,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,498,511,0.000946,97.5,94.7,500,,,27/12/2018,,Roscosmos,Russia,Vostochny Cosmodrome,Soyuz-2.1a,2018-111B,43877
KazEOSat-1,NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,751,754,0.000211,98.53,99.87,830,,1200.00,30/04/2014,7.25,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731
KazEOSat-2,NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,612,636,0.001716,97.99,97.19,185,,55.00,19/06/2014,7,Surrey Satellite Technology Ltd.,UK,Dombarovsky Air Base,Dnepr,2014-033A,40010
KazSat-2,Kazakhstan,Kazakhstan,JSC KazSat,Commercial,Communications,,GEO,,86.5,35786,35788,0.000024,0.03,1436.13,1300,,,15/07/2011,12,Khrunichev,Russia,Baikonur Cosmodrome,Proton M,2011-035B,37749
KazSat-3,NR,Kazakhstan,JSC KazSat,Commercial,Communications,,GEO,,58.5,35784,35789,0.000059,0.12,1436.08,,,5500.00,28/04/2014,15,Thales Alenia Space,Italy,Baikonur Cosmodrome,Proton M,2014-023B,39728
KazSTSAT,NR,Kazakhstan,Ghalam LLP,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,573,589,0.001151,97.7,96.3,100,,,03/12/2018,5,Surrey Satellite Technology Ltd.,UK,Vandenberg AFB,Falcon 9,2018-099AB,43783
Kent Ridge 1,NR,Singapore,National University of Singapore,Civil,Earth Observation,Optical Imaging,LEO,Equatorial,0,534,551,0.001230,14.98,95.49,78,,,16/12/2015,,National University of Singapore,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077B,41167
Kepler-10 BABY YODA,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,526,535,0.000652,97.5,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-006CS,47501
Kepler-11 DANEEL,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,525,535,0.000725,97.7,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-006CU,47503
Kepler-12 BOBA,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,526,535,0.000652,97.5,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-026AK,47446
Kepler-13 LUCKY,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,526,535,0.000652,97.5,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-026AT,47454
Kepler-14 STELLA,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,525,535,0.000725,97.5,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-006CB,47486
Kepler-15 SUDORMRF,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,527,535,0.000580,97.5,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-006BA,47461
Kepler-16 ASTRAEUS,NR (4/22),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,524,535,0.000797,97.5,94.7,9,,,13/01/2022,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2022-002CD,51059
Kepler-17 KARINA,NR (4/22),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,525,535,0.000725,97.5,94.7,9,,,13/01/2022,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2022-002CB,51057
Kepler-18 BLIP-A,Canada,Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,524,535,0.000797,97.5,94.7,9,,,13/01/2022,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2022-002U,51002
Kepler-19,Canada,Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,519,535,0.001160,97.5,94.7,9,,,13/01/2022,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2022-002BV,51051
Kepler-2 CASE,NR (12/20),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,476,500,0.001750,97.4,95,4,,,29/11/2018,,Clyde Space,UK,Satish Dhawan Space Centre,PSLV,2018-096L,43729
Kepler-20,Canada,Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,491,507,0.001165,97.4,95,15,15,,15/04/2023,,Kepler Aerospace,Canada,Vandenberg AFB,Falcon 9,2023-054AR,56217
Kepler-21,Canada,Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,,,,97.4,95,15,15,,15/04/2023,,Kepler Aerospace,Canada,Vandenberg AFB,Falcon 9,2023-054AS,56218
Kepler-3 TARS,NR (12/20),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,531,535,0.000290,97.5,94.1,9,,,02/09/2020,,Clyde Space,UK,Guiana Space Center,Vega,2020-061AZ,46319
Kepler-4 ANTILLES,NR (12/20),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,552,568,0.001154,97.7,95.8,9,,,28/09/2020,,Kepler Aerospace,Canada,Plesetsk Cosmodrome,Soyuz-2.1b,2020-068AP,46499
Kepler-5 AMIDALA,NR (12/20),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,552,568,0.001154,97.7,95.8,9,,,28/09/2020,,Kepler Aerospace,Canada,Plesetsk Cosmodrome,Soyuz-2.1b,2020-068AN,46498
Kepler-6 ROCINANTE,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,534,563,0.002096,97.7,95.8,9,,,22/03/2021,,Kepler Aerospace,Canada,Baikonur Cosmodrome,Soyuz-2.1b,2021-022Z,47955
Kepler-7 C3PO,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,536,563,0.001951,97.7,95.8,9,,,22/03/2021,,Kepler Aerospace,Canada,Baikonur Cosmodrome,Soyuz-2.1b,2021-022T,47949
Kepler-8 AMAROK,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,526,535,0.000652,97.5,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-006BR,47476
Kepler-9 ARTEMIS,NR (5/21),Canada,Kepler Communications,Commercial,Communications,,LEO,Sun-Synchronous,0,526,535,0.000652,97.5,95.2,9,,,24/01/2021,,Kepler Aerospace,Canada,Cape Canaveral,Falcon 9,2021-006DX,47531
KestrelEye IIM,USA,USA,US Army Space and Missile Defense Command/Army Forces Strategic Command,Military,Earth Observation/Technology Development,Optical Imaging,LEO,Non-Polar Inclined,0,400,407,0.000517,51.6,92.6,50,,,24/10/2017,,U.S. Army Space and Missile Defense Command/Army Forces Strategic Command,USA,International Space Station,Nanorack Deployer,1998-067NE,42982
